,SNO,SHOP_NAME,ITEM_NAME,MRP,WEIGHT_QTY,PRICE,AMT,CATEGORY,PURCHASE_DT
0,1,Suyambulingam,CARROT,70.0,0.255,70.0,17.85,VEGETABLE,2023-11-26
1,2,Suyambulingam,AVARAI,90.0,0.225,90.0,20.25,VEGETABLE,2023-11-26
2,3,Suyambulingam,BEANS,100.0,0.26,100.0,26.0,VEGETABLE,2023-11-26
3,4,Suyambulingam,INJEE,200.0,0.12,200.0,24.0,SPICES,2023-11-26
4,5,Suyambulingam,POONDU,300.0,0.17,300.0,51.0,VEGETABLE,2023-11-26
5,6,Suyambulingam,BIG ONION,45.0,1.06,45.0,47.7,VEGETABLE,2023-11-26
6,7,Suyambulingam,BRINJAL,60.0,0.425,60.0,25.5,VEGETABLE,2023-11-27
7,8,Suyambulingam,POTATO,35.0,0.415,35.0,14.53,VEGETABLE,2023-11-27
8,9,Suyambulingam,DRUM STICK,180.0,0.075,180.0,13.5,VEGETABLE,2023-11-27
9,10,Suyambulingam,DRY FISH,30.0,1.0,30.0,30.0,NON-VEGETABLE,2023-11-27
10,11,OPPISITE,SEMIA,24.0,1.0,24.0,24.0,GROCESSARY,2023-11-27
11,12,OPPISITE,SAMANTHI,30.0,1.0,30.0,30.0,FLOWER,2023-11-26
12,13,OPPISITE,INCENSE STICK,10.0,1.0,10.0,10.0,OTHERS,2023-11-26
13,14,OPPISITE,MILK,10.0,1.0,10.0,10.0,DAIRY,2023-11-26
14,15,OPPISITE,POOJA ITEMS,10.0,1.0,10.0,10.0,OTHERS,2023-11-26
15,16,OPPISITE,MILK,10.0,1.0,10.0,10.0,DAIRY,2023-11-27
16,17,AAJ SUPER MARKET,RED AVAL,48.0,1.0,48.0,48.0,GROCESSARY,2023-12-03
17,18,AAJ SUPER MARKET,AAVIN MILK BLUE,20.0,1.0,20.0,20.0,DAIRY,2023-12-03
18,19,Suyambulingam,BEET ROOT,80.0,0.47,80.0,37.6,VEGETABLE,2023-12-03
19,20,Suyambulingam,POTATO,35.0,0.435,35.0,15.23,VEGETABLE,2023-12-03
20,21,ANBU VEGETABLES,POONDU,300.0,0.17,300.0,51.0,VEGETABLE,2023-12-03
21,22,Street Shop,CARROT,80.0,0.5,80.0,40.0,VEGETABLE,2023-12-03
22,23,Street Shop,BEANS,120.0,0.25,120.0,30.0,VEGETABLE,2023-12-03
23,24,Street Shop,COCONUT,25.0,1.0,25.0,25.0,OTHERS,2023-12-03
24,25,Street Shop,BIG ONION,50.0,2.0,50.0,100.0,VEGETABLE,2023-12-03
25,26,Street Shop,SMALL ONION,120.0,0.5,120.0,60.0,VEGETABLE,2023-12-03
26,27,Street Shop,TOMATTO,50.0,1.0,50.0,50.0,VEGETABLE,2023-12-03
27,28,Street Shop,KAMALA ORANGE,80.0,1.0,80.0,80.0,FRUITS,2023-12-03
28,29,Street Shop,GUAYA ,60.0,0.35,60.0,21.0,FRUITS,2023-12-03
29,30,Suyambulingam,POTATO,35.0,0.815,35.0,28.525,VEGETABLE,2023-12-06
30,31,Suyambulingam,DRY FISH,30.0,1.0,30.0,30.0,NON-VEGETABLE,2023-12-06
31,32,Suyambulingam,SURAKAAI,60.0,0.685,60.0,41.1,VEGETABLE,2023-12-08
32,33,Suyambulingam,VALAKAAI,14.0,1.0,14.0,14.0,VEGETABLE,2023-12-08
33,34,Suyambulingam,NELIKKAI,120.0,0.195,120.0,23.4,FRUITS,2023-12-08
34,35,Suyambulingam,INJEE,200.0,0.09,200.0,18.0,SPICES,2023-12-08
35,36,Suyambulingam,MILAGAI,80.0,0.1,80.0,8.0,SPICES,2023-12-08
36,37,AAJ SUPER MARKET,COCONUT,45.0,0.66,45.0,29.48,OTHERS,2023-12-08
37,38,AAJ SUPER MARKET,GREEN MUNG BEANS 50g,15.0,1.0,15.0,15.0,VEGETABLE,2023-12-08
38,39,AAJ SUPER MARKET,GREEN PEAS SPL 50g,18.0,1.0,18.0,18.0,VEGETABLE,2023-12-08
39,40,AAJ SUPER MARKET,SVS REF GROUND NUT OIL,205.0,1.0,205.0,205.0,OIL,2023-12-08
40,41,Street Shop,SEMIA,20.0,1.0,20.0,20.0,GROCESSARY,2023-12-08
41,42,Street Shop,EGG,6.5,4.0,6.5,26.0,GROCESSARY,2023-12-08
42,43,Street Shop,CARDAMOM,10.0,1.0,10.0,10.0,SPICES,2023-12-08
43,44,APOLLO PHARMACY,KETO MEDICATED SOAP,138.0,1.0,138.0,138.0,COSMETICS,2023-12-07
44,45,APOLLO PHARMACY,MEDIMIX,32.0,1.0,32.0,32.0,COSMETICS,2023-12-07
45,46,Suyambulingam,PUTHINA,10.0,1.0,10.0,10.0,GREEN LEAVES,2023-12-09
46,47,Suyambulingam,ARAI KEERAI,15.0,1.0,15.0,15.0,GREEN LEAVES,2023-12-09
47,48,AAJ SUPER MARKET,TATA CRYSTAL SALT,14.0,1.0,14.0,14.0,GROCESSARY,2023-12-09
48,49,AAJ SUPER MARKET,SOMBU50GM,30.0,1.0,30.0,30.0,SPICES,2023-12-09
49,50,AAJ SUPER MARKET,VELLAM 500GM,40.0,1.0,40.0,40.0,GROCESSARY,2023-12-09
50,51,AAJ SUPER MARKET,ORANGE,75.0,1.02,75.0,76.5,FRUITS,2023-12-09
